HITS,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
SVM,0.494646681,0.52248394,0.505353319,0.51391863,0.507494647
SVR,0.525751073,0.549356223,0.487124464,0.497854077,0.551502146
MLP,0.471092077,0.471092077,0.498929336,0.503211991,0.533190578
MLP Reg,0.52360515,0.52360515,0.519313305,0.495708155,0.487124464
RNN,0.501070664,0.505353319,0.488222698,0.501070664,0.554603854
RNN Reg,0.536480687,0.502145923,0.469957082,0.493562232,0.506437768
AE SVM,0.526766595,0.503211991,0.533190578,0.535331906,0.511777302
AE SVR,0.502145923,0.508583691,0.536480687,0.52360515,0.515021459
AE MLP,0.535331906,0.505353319,0.524625268,0.539614561,0.535331906
AE MLP Reg,0.551502146,0.551502146,0.495708155,0.512875536,0.480686695
AE RNN,0.520342612,0.546038544,0.488222698,0.526766595,0.51391863
AE RNN Reg,0.534334764,0.519313305,0.448497854,0.532188841,0.484978541